Kachelname,filename,url,Koordinatenursprung_East,Koordinatenursprung_North
dop10rgbi_32_364_5635_1_nw_2025,dop10rgbi_32_364_5635_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_364_5635_1_nw_2025/dop10rgbi_32_364_5635_1_nw_2025.jp2,364000,5635000
dop10rgbi_32_369_5634_1_nw_2025,dop10rgbi_32_369_5634_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_369_5634_1_nw_2025/dop10rgbi_32_369_5634_1_nw_2025.jp2,369000,5634000
dop10rgbi_32_346_5656_1_nw_2025,dop10rgbi_32_346_5656_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_346_5656_1_nw_2025/dop10rgbi_32_346_5656_1_nw_2025.jp2,346000,5656000
dop10rgbi_32_352_5655_1_nw_2023,dop10rgbi_32_352_5655_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_352_5655_1_nw_2023/dop10rgbi_32_352_5655_1_nw_2023.jp2,352000,5655000
dop10rgbi_32_357_5654_1_nw_2023,dop10rgbi_32_357_5654_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_357_5654_1_nw_2023/dop10rgbi_32_357_5654_1_nw_2023.jp2,357000,5654000
dop10rgbi_32_363_5653_1_nw_2025,dop10rgbi_32_363_5653_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_363_5653_1_nw_2025/dop10rgbi_32_363_5653_1_nw_2025.jp2,363000,5653000
dop10rgbi_32_368_5652_1_nw_2025,dop10rgbi_32_368_5652_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_368_5652_1_nw_2025/dop10rgbi_32_368_5652_1_nw_2025.jp2,368000,5652000
dop10rgbi_32_347_5646_1_nw_2025,dop10rgbi_32_347_5646_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_347_5646_1_nw_2025/dop10rgbi_32_347_5646_1_nw_2025.jp2,347000,5646000
dop10rgbi_32_353_5645_1_nw_2025,dop10rgbi_32_353_5645_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_353_5645_1_nw_2025/dop10rgbi_32_353_5645_1_nw_2025.jp2,353000,5645000
dop10rgbi_32_358_5644_1_nw_2025,dop10rgbi_32_358_5644_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_358_5644_1_nw_2025/dop10rgbi_32_358_5644_1_nw_2025.jp2,358000,5644000
dop10rgbi_32_364_5643_1_nw_2025,dop10rgbi_32_364_5643_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_364_5643_1_nw_2025/dop10rgbi_32_364_5643_1_nw_2025.jp2,364000,5643000
dop10rgbi_32_369_5642_1_nw_2025,dop10rgbi_32_369_5642_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_369_5642_1_nw_2025/dop10rgbi_32_369_5642_1_nw_2025.jp2,369000,5642000
dop10rgbi_32_363_5661_1_nw_2023,dop10rgbi_32_363_5661_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_363_5661_1_nw_2023/dop10rgbi_32_363_5661_1_nw_2023.jp2,363000,5661000
dop10rgbi_32_368_5659_1_nw_2023,dop10rgbi_32_368_5659_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_368_5659_1_nw_2023/dop10rgbi_32_368_5659_1_nw_2023.jp2,368000,5659000
dop10rgbi_32_368_5660_1_nw_2023,dop10rgbi_32_368_5660_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_368_5660_1_nw_2023/dop10rgbi_32_368_5660_1_nw_2023.jp2,368000,5660000
dop10rgbi_32_348_5636_1_nw_2025,dop10rgbi_32_348_5636_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_348_5636_1_nw_2025/dop10rgbi_32_348_5636_1_nw_2025.jp2,348000,5636000
